City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
123,Pochutla,MX,15.7432,-96.4661,86.83,50,0,12.17,clear sky
124,Hirara,JP,24.8,125.2833,65.07,63,100,14.32,overcast clouds
125,Vardo,NO,70.3705,31.1107,15.55,85,0,21.85,clear sky
126,Ancud,CL,-41.8697,-73.8203,64.42,66,2,10.78,clear sky
127,Lata,PT,40.1629,-8.3327,46.81,68,0,3.71,clear sky
128,Natal,BR,-5.795,-35.2094,84.85,74,40,16.11,scattered clouds
129,Uruguaiana,BR,-29.7547,-57.0883,96.73,26,20,18.41,few clouds
130,Luganville,VU,-15.5333,167.1667,79.25,86,99,3.36,overcast clouds
131,Beisfjord,NO,68.3751,17.5988,24.96,70,77,9.15,broken clouds
132,Fortuna,US,40.5982,-124.1573,54.48,75,75,1.99,broken clouds
133,Taki,IN,22.5861,88.9214,64.35,78,74,4.43,broken clouds
134,Kaihua,CN,23.3687,104.28,43.47,96,100,4.16,overcast clouds
135,Mogadishu,SO,2.0371,45.3438,77.54,85,33,18.3,scattered clouds
136,Sengiley,RU,53.9622,48.7944,32.07,93,100,18.21,snow
137,Kudahuvadhoo,MV,2.6708,72.8944,82.71,75,32,11.18,scattered clouds
138,Awbari,LY,26.5921,12.7805,48.65,48,0,2.21,clear sky
139,Sao Felix Do Xingu,BR,-6.6447,-51.995,75.94,95,84,0.94,moderate rain
140,Garowe,SO,8.4054,48.4845,70.93,79,75,12.82,broken clouds
141,Tagusao,PH,9.1924,117.8141,77.74,86,9,5.1,clear sky
142,Caska,MK,41.6506,21.6622,30.72,73,100,2.55,overcast clouds
143,Luderitz,NA,-26.6481,15.1594,66.15,85,8,1.68,clear sky
144,Beringovskiy,RU,63.05,179.3167,-2.85,91,99,16.82,overcast clouds
145,Mahuva,IN,21.0914,71.7622,68.68,56,0,8.55,clear sky
146,Hasaki,JP,35.7333,140.8333,28.8,42,59,10.16,broken clouds
147,Pangnirtung,CA,66.1451,-65.7125,-27.4,75,20,0.0,few clouds
148,Savonlinna,FI,61.8699,28.88,19.45,86,100,9.22,overcast clouds
149,Mar Del Plata,AR,-38.0023,-57.5575,68.02,49,0,11.99,clear sky
150,Angoche,MZ,-16.2325,39.9086,77.52,83,0,4.68,clear sky
151,Butaritari,KI,3.0707,172.7902,81.34,78,96,14.83,light rain
152,Northfield,US,44.4583,-93.1616,29.71,75,0,5.99,clear sky
153,Madimba,TZ,-10.4,40.3333,77.0,85,6,2.77,light rain
154,Sinnamary,GF,5.3833,-52.95,78.35,82,100,10.16,overcast clouds
155,Keti Bandar,PK,24.1447,67.4497,70.92,86,0,11.32,clear sky
156,Carnarvon,AU,-24.8667,113.6333,77.07,78,0,18.41,clear sky
157,Sungurlare,BG,42.7667,26.7833,36.81,68,66,3.51,broken clouds
158,Zemio,CF,5.0314,25.1361,73.76,29,99,1.1,overcast clouds
159,Maues,BR,-3.3836,-57.7186,82.38,73,78,3.65,broken clouds
160,Kodiak,US,57.79,-152.4072,24.31,80,100,3.44,overcast clouds
161,Poum,NC,-20.2333,164.0167,80.33,76,100,14.63,overcast clouds
162,Kaitangata,NZ,-46.2817,169.8464,65.53,71,32,2.62,scattered clouds
163,Kidal,ML,18.4411,1.4078,67.64,9,1,11.68,clear sky
164,Ribeira Grande,PT,38.5167,-28.7,61.2,72,20,20.71,few clouds
165,Port Lincoln,AU,-34.7333,135.8667,63.97,73,43,18.01,scattered clouds
166,Shingu,JP,33.7333,135.9833,34.92,71,8,5.48,clear sky
167,Chegdomyn,RU,51.1167,133.0167,-22.22,100,95,1.7,overcast clouds
168,Thompson,CA,55.7435,-97.8558,1.56,78,100,6.91,overcast clouds
169,San Lorenzo,PY,-25.3333,-57.5333,101.59,17,40,11.99,scattered clouds
170,Soto La Marina,MX,23.7667,-98.2167,79.77,46,18,15.28,few clouds
171,East London,ZA,-33.0153,27.9116,77.07,81,100,2.64,overcast clouds
172,Verkhoyansk,RU,67.5447,133.385,-30.5,100,100,0.31,overcast clouds
173,Aklavik,CA,68.2191,-135.0107,3.2,78,75,10.36,broken clouds
174,Khorinsk,RU,52.1657,109.7726,-19.41,99,71,1.79,broken clouds
175,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,103.75,8,52,9.91,broken clouds
176,Prainha,BR,-1.8,-53.48,79.02,85,73,4.34,broken clouds
177,Emilio Carranza,MX,19.9711,-96.6114,76.19,65,5,13.73,clear sky
178,Cabo San Lucas,MX,22.8909,-109.9124,79.9,60,0,1.99,clear sky
179,Inverness,GB,57.4791,-4.224,43.21,89,75,3.0,light rain
180,Belmonte,BR,-15.8631,-38.8828,82.9,79,52,10.83,broken clouds
181,Nanakuli,US,21.3906,-158.1547,79.03,60,75,5.75,broken clouds
182,Christchurch,NZ,-43.5333,172.6333,69.03,81,100,1.99,overcast clouds
183,Iba,PH,15.3667,120.0333,75.34,79,5,6.35,clear sky
184,Ormara,PK,25.2088,64.6357,73.47,55,0,7.81,clear sky
185,Santa Cruz Cabralia,BR,-16.2781,-39.0247,82.63,78,40,13.8,scattered clouds
186,Halifax,CA,44.6453,-63.5724,26.6,55,20,3.0,few clouds
187,El Vigia,VE,8.6219,-71.6506,86.47,54,37,1.74,scattered clouds
188,Itaituba,BR,-4.2761,-55.9836,84.36,74,40,3.44,scattered clouds
189,Songkhla,TH,6.8333,100.6667,75.25,95,40,3.29,scattered clouds
190,Basco,PH,20.4487,121.9702,70.57,74,99,24.05,overcast clouds
191,Tsaratanana,MG,-16.7833,47.65,73.94,82,6,5.44,clear sky
192,Hobyo,SO,5.3505,48.5268,77.83,81,78,15.03,broken clouds
193,Bogdanci,MK,41.2031,22.5756,44.98,54,100,4.97,overcast clouds
194,Canyon Lake,US,29.8752,-98.2625,59.68,94,100,1.99,overcast clouds
195,Husavik,IS,66.0449,-17.3389,19.31,93,100,5.88,light snow
196,Ostrovnoy,RU,68.0531,39.5131,8.69,93,98,5.97,overcast clouds
197,Upata,VE,8.0086,-62.3989,82.06,51,100,6.85,overcast clouds
198,Airai,TL,-8.9266,125.4092,59.77,88,90,4.14,overcast clouds
199,Celadna,CZ,49.5487,18.3376,33.37,92,100,7.0,overcast clouds
200,Saint-Pierre,RE,-21.3393,55.4781,78.48,78,75,14.97,broken clouds
201,Diamantino,BR,-14.4086,-56.4461,71.15,96,100,8.34,overcast clouds
202,Beira,MZ,-19.8436,34.8389,78.89,78,20,8.01,few clouds
203,Richmond Hill,CA,43.8711,-79.4372,31.01,63,78,3.74,broken clouds
204,Oromocto,CA,45.8351,-66.4792,21.34,51,20,8.05,few clouds
205,Lulea,SE,65.5842,22.1547,5.07,85,75,6.91,broken clouds
206,Yavatmal,IN,20.4,78.1333,64.51,25,0,3.69,clear sky
