City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
110,Shenjiamen,CN,2022-01-30 00:16:06,29.9576,122.298,40.17,96,100,19.19
111,New Norfolk,AU,2022-01-30 00:16:07,-42.7826,147.0587,76.66,31,13,1.99
112,Bengkulu,ID,2022-01-30 00:14:29,-3.8004,102.2655,76.26,90,100,4.14
113,Kasongo,CD,2022-01-30 00:16:09,-4.45,26.6667,68.85,92,99,1.77
114,Okhotsk,RU,2022-01-30 00:13:13,59.3833,143.3,13.89,80,99,15.48
115,Bonfim,BR,2022-01-30 00:16:10,3.0833,-59.95,83.66,46,73,8.46
116,Khatanga,RU,2022-01-30 00:16:11,71.9667,102.5,-5.76,98,100,7.61
117,Ngunguru,NZ,2022-01-30 00:16:12,-35.6167,174.5,73.17,64,40,11.16
118,Hithadhoo,MV,2022-01-30 00:16:13,-0.6,73.0833,80.82,68,76,3.85
119,Pangody,RU,2022-01-30 00:16:14,65.85,74.4859,-4.09,96,100,8.86
120,Vanavara,RU,2022-01-30 00:16:15,60.34,102.2797,-3.68,99,100,3.13
121,Houma,US,2022-01-30 00:15:15,29.5958,-90.7195,50.0,44,0,5.75
122,Along,IN,2022-01-30 00:16:17,28.1667,94.7667,41.67,82,2,1.36
123,Ciudad Bolivar,VE,2022-01-30 00:16:17,8.1222,-63.5497,81.99,51,27,13.94
124,Vardo,NO,2022-01-30 00:16:18,70.3705,31.1107,22.14,81,96,1.81
125,Mayna,RU,2022-01-30 00:16:19,54.1135,47.6231,8.26,98,92,5.35
126,Aleksandrov Gay,RU,2022-01-30 00:16:20,50.147,48.5704,32.61,98,100,18.63
127,Sulangan,PH,2022-01-30 00:16:20,11.1373,123.7228,80.98,76,41,4.54
128,Paamiut,GL,2022-01-30 00:16:21,61.994,-49.6678,14.23,69,100,15.48
129,Sugag,RO,2022-01-30 00:16:22,45.7667,23.6333,18.95,71,86,7.45
130,Zyryanovsk,KZ,2022-01-30 00:16:23,49.7386,84.2719,-19.34,97,80,1.61
131,Marystown,CA,2022-01-30 00:16:23,47.1666,-55.1483,40.86,100,100,15.99
132,Beringovskiy,RU,2022-01-30 00:16:24,63.05,179.3167,-9.04,99,93,2.46
133,Dwarka,IN,2022-01-30 00:16:25,22.2394,68.9678,67.23,64,3,8.7
134,Nikolskoye,RU,2022-01-30 00:12:06,59.7035,30.7861,27.72,86,100,16.42
135,Husavik,IS,2022-01-30 00:16:26,66.0449,-17.3389,33.71,79,64,17.31
136,Hambantota,LK,2022-01-30 00:16:27,6.1241,81.1185,77.79,82,78,7.54
137,Humberto De Campos,BR,2022-01-30 00:16:27,-2.5983,-43.4611,73.38,96,100,3.69
138,Sao Gabriel Da Cachoeira,BR,2022-01-30 00:16:28,-0.1303,-67.0892,77.38,84,100,2.37
139,Klaksvik,FO,2022-01-30 00:15:18,62.2266,-6.589,34.72,65,59,18.37
140,Abu Samrah,SY,2022-01-30 00:17:29,35.3029,37.1841,38.57,85,49,6.38
141,Victoria,HK,2022-01-30 00:15:18,22.2855,114.1577,58.24,76,80,3.0
142,Saskylakh,RU,2022-01-30 00:17:30,71.9167,114.0833,-20.06,100,99,3.44
143,Perth,AU,2022-01-30 00:13:03,-31.9333,115.8333,82.67,62,0,2.3
144,Pires Do Rio,BR,2022-01-30 00:17:32,-17.2997,-48.2794,68.16,88,100,4.0
145,Ugoofaaru,MV,2022-01-30 00:15:46,5.6667,73.0,82.22,68,81,15.93
146,Ouargaye,BF,2022-01-30 00:17:33,11.5033,0.0572,76.12,15,26,12.73
147,Salekhard,RU,2022-01-30 00:17:34,66.53,66.6019,-25.31,100,99,2.15
148,Port Hedland,AU,2022-01-30 00:17:35,-20.3167,118.5667,87.85,66,99,14.97
149,Bihar,RO,2022-01-30 00:17:36,47.15,21.9167,32.11,100,75,19.57
150,Tiksi,RU,2022-01-30 00:17:37,71.6872,128.8694,-9.51,98,55,4.09
151,Georgetown,MY,2022-01-30 00:17:37,5.4112,100.3354,81.9,88,20,0.0
152,Saint Pete Beach,US,2022-01-30 00:17:38,27.7253,-82.7412,46.4,62,0,1.01
153,Bosaso,SO,2022-01-30 00:17:39,11.2842,49.1816,70.93,70,74,3.98
154,Itoman,JP,2022-01-30 00:17:39,26.1247,127.6694,64.42,92,75,11.5
155,Honiara,SB,2022-01-30 00:17:40,-9.4333,159.95,84.52,71,100,4.0
156,Ribeira Grande,PT,2022-01-30 00:16:35,38.5167,-28.7,59.04,74,47,5.48
157,Fortuna,US,2022-01-30 00:17:41,40.5982,-124.1573,57.92,80,0,5.75
158,Rock Hill,US,2022-01-30 00:13:18,34.9249,-81.0251,32.76,23,0,5.75
159,Filingue,NE,2022-01-30 00:17:43,14.3521,3.3168,68.54,14,22,12.77
160,Lata,PT,2022-01-30 00:17:43,40.1629,-8.3327,50.41,52,0,5.5
161,Anadyr,RU,2022-01-30 00:17:44,64.75,177.4833,-8.52,76,40,2.24
162,Nalut,LY,2022-01-30 00:17:45,30.3333,10.85,41.72,73,0,9.01
163,Poum,NC,2022-01-30 00:17:46,-20.2333,164.0167,81.79,76,52,8.5
164,Yellowknife,CA,2022-01-30 00:13:24,62.456,-114.3525,-10.44,77,75,9.22
165,Orlik,RU,2022-01-30 00:17:47,52.5178,99.825,-27.74,95,79,2.48
166,Siilinjarvi,FI,2022-01-30 00:17:48,63.0833,27.6667,24.82,86,100,14.97
167,Tucupita,VE,2022-01-30 00:17:49,9.0622,-62.051,74.89,76,92,5.3
168,Taoudenni,ML,2022-01-30 00:17:49,22.6783,-3.9836,73.24,11,97,13.35
169,Mahebourg,MU,2022-01-30 00:17:42,-20.4081,57.7,79.09,78,40,6.91
170,Raudeberg,NO,2022-01-30 00:17:51,61.9875,5.1352,41.2,89,99,10.0
171,Puerto Del Rosario,ES,2022-01-30 00:17:52,28.5004,-13.8627,65.88,77,0,8.05
172,Liku,ID,2022-01-30 00:17:53,-0.7275,119.8922,77.85,85,100,1.88
173,Kabalo,CD,2022-01-30 00:17:54,-6.05,26.9167,69.84,95,100,1.25
174,Noumea,NC,2022-01-30 00:14:39,-22.2763,166.4572,87.78,99,29,15.57
175,Freeport,US,2022-01-30 00:16:29,40.6576,-73.5832,20.97,66,100,8.01
176,Lorengau,PG,2022-01-30 00:17:38,-2.0226,147.2712,84.33,71,87,7.34
177,Matamoros,MX,2022-01-30 00:17:56,25.5333,-103.25,64.51,41,0,8.05
178,Esperance,AU,2022-01-30 00:14:01,-33.8667,121.9,72.9,59,6,10.63
179,Alofi,NU,2022-01-30 00:17:58,-19.0595,-169.9187,82.29,74,93,11.5
180,Barabinsk,RU,2022-01-30 00:17:59,55.3571,78.357,-0.24,89,74,8.46
181,Namibe,AO,2022-01-30 00:18:00,-15.1961,12.1522,70.84,76,100,6.04
182,Bose,IT,2022-01-30 00:18:00,45.4612,8.0137,40.77,54,30,3.04
183,Gat,IL,2022-01-30 00:16:50,31.61,34.7642,49.41,100,0,2.59
184,Kavieng,PG,2022-01-30 00:16:50,-2.5744,150.7967,83.17,75,100,6.58
185,Constitucion,CL,2022-01-30 00:19:02,-35.3333,-72.4167,59.09,92,44,7.87
186,Mahon,ES,2022-01-30 00:19:03,39.8885,4.2658,39.76,93,0,5.75
187,Yar-Sale,RU,2022-01-30 00:19:05,66.8333,70.8333,-10.05,98,86,8.7
188,Arraial Do Cabo,BR,2022-01-30 00:18:56,-22.9661,-42.0278,74.95,94,96,7.52
189,Birjand,IR,2022-01-30 00:19:05,32.8663,59.2211,32.47,55,0,0.0
190,Vestmannaeyjar,IS,2022-01-30 00:19:06,63.4427,-20.2734,40.95,64,100,17.45
191,Oxford,GB,2022-01-30 00:15:13,51.7522,-1.256,43.21,86,16,8.63
192,Sainte-Maxime,FR,2022-01-30 00:19:07,43.3,6.6333,46.54,66,1,3.91
193,Huarmey,PE,2022-01-30 00:19:08,-10.0681,-78.1522,71.67,80,34,9.15
194,San Patricio,US,2022-01-30 00:19:09,28.017,-97.5169,60.89,40,35,10.63
195,Tromso,NO,2022-01-30 00:19:09,69.6496,18.957,21.38,67,0,2.3
196,Henties Bay,NA,2022-01-30 00:19:10,-22.116,14.2845,60.85,83,38,3.74
197,Yerbogachen,RU,2022-01-30 00:18:11,61.2767,108.0108,-10.88,99,94,3.13
